iter	Passed	Remaining
0	3	3017
1	5	2726
2	8	2671
3	10	2728
4	13	2678
5	16	2687
6	18	2686
7	22	2735
8	24	2736
9	27	2759
10	30	2760
11	33	2771
12	36	2790
13	39	2787
14	42	2798
15	45	2814
16	48	2817
17	51	2825
18	54	2831
19	57	2833
20	60	2834
21	64	2848
22	67	2859
23	70	2860
24	73	2876
25	76	2883
26	80	2888
27	83	2889
28	86	2896
29	89	2892
30	92	2901
31	96	2910
32	99	2905
33	102	2915
34	105	2912
35	109	2920
36	112	2924
37	115	2927
38	118	2923
39	121	2924
40	125	2928
41	128	2924
42	131	2922
43	134	2922
44	137	2919
45	140	2916
46	143	2917
47	146	2912
48	149	2909
49	153	2908
50	156	2907
51	159	2904
52	162	2903
53	165	2899
54	168	2897
55	171	2896
56	174	2890
57	177	2885
58	180	2883
59	183	2881
60	187	2880
61	190	2888
62	194	2887
63	197	2883
64	200	2881
65	203	2878
66	206	2876
67	209	2874
68	212	2872
69	215	2869
70	219	2869
71	222	2864
72	225	2861
73	228	2859
74	231	2855
75	234	2850
76	237	2849
77	240	2846
78	243	2843
79	247	2842
80	250	2838
81	253	2834
82	256	2831
83	259	2830
84	262	2824
85	265	2825
86	268	2822
87	271	2818
88	275	2815
89	278	2815
90	281	2812
91	284	2808
92	287	2806
93	290	2803
94	294	2801
95	297	2797
96	300	2795
97	303	2791
98	306	2792
99	309	2789
100	312	2785
101	315	2781
102	319	2780
103	322	2779
104	325	2777
105	328	2774
106	331	2770
107	335	2769
108	338	2764
109	341	2760
110	344	2756
111	347	2752
112	350	2750
113	353	2750
114	356	2746
115	359	2743
116	363	2740
117	366	2737
118	369	2734
119	372	2731
120	375	2728
121	378	2725
122	382	2725
123	385	2721
124	388	2717
125	391	2714
126	394	2712
127	397	2708
128	400	2704
129	403	2701
130	406	2697
131	410	2696
132	413	2692
133	416	2689
134	419	2685
135	422	2682
136	425	2678
137	428	2675
138	431	2671
139	434	2667
140	437	2665
141	440	2663
142	443	2660
143	446	2657
144	450	2653
145	453	2650
146	456	2648
147	459	2647
148	463	2645
149	466	2641
150	469	2639
151	472	2636
152	475	2632
153	478	2630
154	482	2628
155	485	2624
156	488	2621
157	491	2618
158	494	2615
159	497	2613
160	501	2611
161	504	2610
162	507	2606
163	510	2603
164	513	2600
165	516	2596
166	519	2592
167	523	2590
168	525	2585
169	529	2583
170	532	2581
171	535	2577
172	538	2574
173	541	2572
174	544	2567
175	547	2563
176	551	2562
177	554	2558
178	557	2555
179	560	2552
180	563	2549
181	566	2545
182	569	2542
183	572	2539
184	576	2537
185	579	2537
186	583	2535
187	586	2532
188	589	2529
189	592	2526
190	595	2522
191	598	2519
192	601	2515
193	604	2513
194	607	2509
195	611	2506
196	613	2502
197	617	2499
198	620	2496
199	623	2493
200	626	2490
201	629	2487
202	632	2483
203	635	2480
204	638	2477
205	641	2473
206	645	2471
207	648	2468
208	651	2465
209	654	2461
210	657	2458
211	660	2455
212	663	2453
213	666	2449
214	669	2445
215	672	2442
216	675	2438
217	679	2436
218	682	2432
219	685	2430
220	688	2427
221	691	2424
222	695	2422
223	698	2419
224	701	2415
225	704	2412
226	707	2409
227	710	2406
228	714	2403
229	717	2400
230	720	2397
231	723	2394
232	726	2391
233	729	2387
234	732	2385
235	735	2381
236	738	2378
237	742	2375
238	745	2372
239	748	2368
240	751	2365
241	754	2363
242	757	2360
243	761	2358
244	764	2357
245	768	2354
246	772	2354
247	776	2353
248	779	2351
249	783	2350
250	787	2349
251	791	2347
252	794	2346
253	798	2345
254	802	2344
255	806	2344
256	810	2343
257	814	2342
258	818	2342
259	822	2341
260	826	2339
261	830	2338
262	833	2335
263	837	2334
264	841	2334
265	845	2332
266	848	2330
267	852	2328
268	856	2327
269	860	2325
270	863	2322
271	867	2320
272	870	2318
273	874	2316
274	878	2315
275	881	2312
276	885	2310
277	889	2309
278	893	2307
279	896	2304
280	899	2301
281	902	2297
282	905	2295
283	908	2291
284	911	2287
285	915	2284
286	918	2281
287	921	2277
288	924	2274
289	927	2270
290	930	2266
291	933	2263
292	936	2260
293	939	2256
294	943	2253
295	946	2250
296	949	2247
297	952	2244
298	955	2240
299	958	2237
300	962	2234
301	965	2232
302	969	2229
303	972	2226
304	975	2223
305	978	2220
306	982	2217
307	985	2213
308	988	2210
309	991	2206
310	994	2203
311	997	2199
312	1000	2196
313	1003	2193
314	1007	2190
315	1010	2187
316	1013	2184
317	1016	2180
318	1019	2176
319	1022	2173
320	1025	2169
321	1029	2167
322	1032	2163
323	1035	2160
324	1038	2156
325	1042	2154
326	1045	2151
327	1049	2149
328	1052	2146
329	1055	2143
330	1059	2142
331	1063	2140
332	1066	2137
333	1070	2134
334	1073	2131
335	1077	2128
336	1080	2126
337	1084	2123
338	1087	2120
339	1091	2117
340	1094	2115
341	1098	2113
342	1101	2110
343	1105	2107
344	1109	2105
345	1112	2102
346	1116	2101
347	1119	2098
348	1123	2095
349	1127	2093
350	1130	2090
351	1134	2087
352	1137	2084
353	1140	2081
354	1144	2079
355	1147	2076
356	1151	2073
357	1154	2071
358	1158	2068
359	1161	2065
360	1165	2062
361	1168	2060
362	1172	2057
363	1176	2054
364	1179	2051
365	1182	2048
366	1185	2045
367	1188	2041
368	1192	2038
369	1195	2035
370	1198	2032
371	1202	2029
372	1205	2025
373	1208	2022
374	1211	2018
375	1214	2015
376	1217	2012
377	1220	2009
378	1224	2005
379	1227	2002
380	1230	1998
381	1233	1995
382	1236	1991
383	1239	1988
384	1242	1985
385	1245	1981
386	1248	1978
387	1252	1974
388	1255	1971
389	1258	1968
390	1261	1964
391	1264	1961
392	1267	1958
393	1270	1954
394	1274	1951
395	1277	1947
396	1280	1944
397	1283	1941
398	1286	1937
399	1289	1934
400	1292	1931
401	1295	1927
402	1299	1924
403	1302	1921
404	1305	1917
405	1308	1914
406	1311	1911
407	1314	1907
408	1317	1904
409	1320	1900
410	1323	1897
411	1326	1893
412	1330	1890
413	1333	1887
414	1336	1883
415	1339	1880
416	1342	1877
417	1345	1873
418	1349	1870
419	1352	1867
420	1355	1864
421	1358	1861
422	1362	1858
423	1365	1855
424	1368	1851
425	1371	1848
426	1375	1845
427	1378	1841
428	1381	1838
429	1384	1835
430	1387	1831
431	1390	1828
432	1393	1825
433	1396	1821
434	1400	1818
435	1403	1815
436	1407	1813
437	1410	1810
438	1413	1806
439	1417	1803
440	1420	1800
441	1423	1797
442	1426	1793
443	1429	1790
444	1433	1787
445	1436	1783
446	1439	1780
447	1442	1777
448	1445	1773
449	1448	1770
450	1451	1766
451	1454	1763
452	1457	1760
453	1461	1757
454	1464	1754
455	1467	1750
456	1470	1747
457	1473	1744
458	1477	1740
459	1480	1737
460	1483	1734
461	1486	1730
462	1489	1727
463	1493	1724
464	1496	1721
465	1499	1718
466	1502	1715
467	1505	1711
468	1508	1708
469	1512	1705
470	1515	1701
471	1518	1698
472	1521	1695
473	1524	1691
474	1527	1688
475	1530	1685
476	1533	1681
477	1536	1678
478	1540	1675
479	1543	1671
480	1546	1668
481	1549	1665
482	1553	1662
483	1556	1658
484	1559	1655
485	1562	1652
486	1565	1649
487	1568	1646
488	1571	1642
489	1574	1639
490	1577	1635
491	1581	1632
492	1584	1629
493	1587	1625
494	1590	1622
495	1593	1619
496	1596	1615
497	1599	1612
498	1602	1609
499	1606	1606
500	1610	1603
501	1612	1600
502	1616	1597
503	1619	1593
504	1622	1590
505	1625	1587
506	1629	1584
507	1632	1581
508	1636	1578
509	1640	1575
510	1643	1573
511	1647	1570
512	1651	1567
513	1654	1564
514	1658	1562
515	1662	1559
516	1666	1556
517	1670	1554
518	1674	1551
519	1677	1548
520	1681	1545
521	1685	1543
522	1689	1540
523	1693	1538
524	1697	1535
525	1701	1533
526	1705	1530
527	1708	1527
528	1712	1525
529	1717	1522
530	1720	1519
531	1724	1517
532	1728	1514
533	1732	1511
534	1735	1508
535	1745	1511
536	1749	1508
537	1752	1505
538	1755	1501
539	1758	1498
540	1762	1494
541	1764	1491
542	1768	1488
543	1771	1484
544	1774	1481
545	1777	1477
546	1780	1474
547	1783	1471
548	1786	1467
549	1789	1464
550	1793	1461
551	1796	1457
552	1799	1454
553	1803	1451
554	1806	1448
555	1818	1451
556	1821	1448
557	1823	1444
558	1826	1441
559	1829	1437
560	1832	1434
561	1835	1430
562	1838	1427
563	1841	1423
564	1845	1420
565	1848	1417
566	1851	1413
567	1854	1410
568	1857	1406
569	1860	1403
570	1863	1400
571	1866	1396
572	1869	1393
573	1872	1389
574	1875	1386
575	1879	1383
576	1882	1380
577	1886	1377
578	1889	1373
579	1892	1370
580	1896	1367
581	1899	1364
582	1902	1360
583	1906	1357
584	1909	1354
585	1912	1351
586	1916	1348
587	1919	1345
588	1923	1342
589	1926	1338
590	1930	1335
591	1933	1332
592	1937	1329
593	1940	1326
594	1944	1323
595	1947	1320
596	1951	1317
597	1954	1314
598	1958	1310
599	1961	1307
600	1964	1304
601	1968	1301
602	1971	1297
603	1974	1294
604	1977	1291
605	1981	1288
606	1984	1284
607	1987	1281
608	1991	1278
609	1994	1275
610	1997	1271
611	2001	1268
612	2004	1265
613	2008	1262
614	2011	1259
615	2014	1255
616	2017	1252
617	2021	1249
618	2024	1246
619	2028	1243
620	2031	1239
621	2034	1236
622	2038	1233
623	2041	1230
624	2044	1226
625	2048	1223
626	2051	1220
627	2054	1216
628	2057	1213
629	2060	1210
630	2063	1206
631	2067	1203
632	2070	1200
633	2073	1197
634	2077	1194
635	2080	1190
636	2083	1187
637	2087	1184
638	2090	1181
639	2093	1177
640	2096	1174
641	2100	1171
642	2103	1167
643	2107	1164
644	2110	1161
645	2113	1158
646	2117	1155
647	2120	1151
648	2123	1148
649	2126	1145
650	2130	1142
651	2133	1138
652	2137	1135
653	2141	1132
654	2144	1129
655	2148	1126
656	2151	1123
657	2154	1119
658	2158	1116
659	2161	1113
660	2165	1110
661	2168	1107
662	2171	1103
663	2175	1100
664	2178	1097
665	2182	1094
666	2185	1091
667	2189	1088
668	2192	1084
669	2195	1081
670	2199	1078
